IE_NAME;IE_CODE;CV_PRICE_1;CV_CURRENCY_1
Motorola GM340;3776;;
Motorola GM360;3777;;
Motorola GM380;3778;;
Motorola GM640;3779;;
Motorola GM660;3780;;
Motorola GM1280;3781;;
ЕРМАК Р350 / 660;3782;;
Vertex Standard EVX-5300;3793;;
Vertex Standard EVX-5400;3794;;
Vertex Standard EVX-531;3795;;
Vertex Standard EVX-534;3796;;
Vertex Standard EVX-539;3797;;
Vertex Standard EVX-R70;3798;;
Vertex Standard VXD-R70;3799;;
Vertex Standard VX-4600;3802;;
Vertex Standard VX-4500;3803;;
Vertex Standard VX-459;3804;;
Vertex Standard VX-454;3805;;
Vertex Standard VX-451;3806;;
Vertex Standard VX-231;3807;;
Vertex Standard VXR-7000;3808;;
Vertex Standard VXR-9000;3809;;
Vertex Standard VX-417;3810;;
Vertex Standard VX-2200;3811;;
Vertex Standard VX-2100;3812;;
Vertex Standard VX-929E;3813;;
Vertex Standard VX-924E;3814;;
Vertex Standard VX-921E;3815;;
Vertex Standard VX-829E;3816;;
Vertex Standard VX-824E;3817;;
Vertex Standard VX-821E;3818;;
Vertex Standard VX-354;3819;;
Vertex Standard VX-351;3820;;
Vector VT-44 PRO;vector-vt-44-pro;;
Vector VT-44 Combat;3824;;
Vector VT-43 R2;3825;;
Vector Intek DRS-5570;3826;;
Vector VT-48 GT;3827;;
Vector VT-48 W;3828;;
Vector VT-47 SPORT;3829;;
Vector VT-47 M2;3830;;
Vector VT-47 PILOT;3831;;
Vector VT-47 ULTRA;3832;;
Vector VT-44 Master;3833;;
Vector VT-44 HS;vector-vt-44-hs;;
Vector VT-44 H;vector-vt-44-h;;
Vector VT-44 STD;3836;;
Vector VT-44 Military #01;3837;;
Vector VT-44 Military #03;vector-vt-44-military-03;;
Vector VT-44 Military Special;3839;;
Yealink SIP-T18P;3840;;
Yealink SIP-T19;3842;;
Yealink SIP-T19P;3843;;
Yealink SIP-T20;3844;;
Yealink SIP-T20P;3845;;
Yealink SIP-T21;3846;;
Yealink SIP-T21P;3847;;
Yealink SIP-T22P;3848;;
Yealink SIP-T26P;3849;;
Yealink SIP-T28P;3850;;
Yealink SIP-T32G;3851;;
Yealink SIP-T38G;3852;;
Yealink SIP-T41P;3853;;
Yealink SIP-T42G;3854;;
Yealink SIP-T46G;3855;;
Yealink W52H;3856;;
Yealink W52P;3857;;
Yealink VP530;3858;;
Yeastar MyPBX U520;3860;;
Yeastar MyPBX U510;3865;;
Yeastar MyPBX U500;3866;;
Yeastar MyPBX U300;3867;;
Yeastar MyPBX U200;3868;;
Yeastar MyPBX U100;3869;;
Yeastar MyPBX Standard;3870;;
Yeastar MyPBX SOHO;3871;;
Yeastar O2;3872;;
Yeastar S2;3873;;
Yeastar SO;3874;;
Yeastar GSM;3875;;
Yeastar UMTS;3876;;
Yeastar B2;3877;;
Yealink YHS32;3880;;
Mairdi MRD-308S;3881;;
Mairdi MRD-308DS;3882;;
Mairdi MRD-509S;3883;;
Mairdi MRD-509DS;3884;;
Mairdi MRD-510S;3885;;
Mairdi MRD-510DS;3886;;
Mairdi MRD-512S;3887;;
Mairdi MRD-512DS;3888;;
Mairdi MRD-609;3889;;
Mairdi MRD-609D;3891;;
Mairdi MRD-QD002;3892;;
Mairdi MRD-QD002(A);3893;;
Mairdi MRD-QD005;3894;;
Mairdi MRD-QD005;3895;;
Mairdi MRD-QD012;3896;;
Mairdi MRD-USB001;3897;;
Mairdi MRD-QD011;3898;;
Motorola MDRMN4028;3911;;
Motorola HMN9727;3912;;
Motorola BDN6667;3913;;
Motorola MDPMMN4009;3914;;
Motorola MDPMLN4556;3915;;
Motorola MDRMN5037;3916;;
Motorola MDPMMN4021;3917;;
Motorola MDPMMN4027;3918;;
Motorola MDRMN4031;3919;;
Motorola MDRMN4018;3920;;
Motorola ENMN4012;3921;;
Motorola MDPMLN4653;3922;;
Motorola PMLN4605;3923;;
Motorola MDRMN4029;3924;;
Motorola MDRMN4021;3925;;
Motorola MDPMLN4519;3926;;
Motorola HNN4003;3927;;
Motorola HNN4002;3928;;
Motorola HNN4001;3929;;
Motorola HNN9013;3930;;
Motorola HNN9012;3931;;
Motorola HNN9011;3932;;
Motorola HNN9010;3933;;
Motorola HNN9009;3934;;
Motorola HNN9008;3935;;
Motorola EN1009;3936;;
Motorola EN1008;3937;;
Motorola EN1007;3938;;
Motorola EN1006;3939;;
Motorola WPLN418;3940;;
Motorola MDHTN3001;3941;;
Motorola WPLN4194;3942;;
Motorola WPLN4189;3943;;
Motorola HLN9952;3944;;
Motorola HLN9689;3945;;
Motorola HLN9665;3946;;
Motorola PMLN4471;3947;;
Motorola PMLN4421;3948;;
Motorola PMLN4470 N;3949;;
Motorola PMMN4056;3950;;
Motorola PMMN4055;3951;;
Motorola PMLN5154;3952;;
Motorola PMLN5152;3953;;
Motorola PMLN5151;3954;;
Motorola GMMN1111;3955;;
Motorola NNTN5510;3956;;
Motorola GMLN1111;3957;;
Motorola GMLN1110;3958;;
Motorola GMLN1113;3959;;
Motorola GMLN1112;3960;;
Motorola GLN7318;3961;;
Motorola GLN7326;3962;;
Motorola HSN8145;3964;;
Motorola GKN6266;3965;;
Motorola GPN6145;3966;;
Motorola GLN7324;3967;;
Yealink BT40;3968;;
Yealink RT10;3969;;
Yealink EXP40;3970;;
Yealink EXP39;3971;;
Yealink EXP38;3972;;
Yaesu FT-1802M / FT-1807M;3978;;
Yaesu FT-2800M;3979;;
Yaesu FT-7800R;3980;;
Yaesu FT-7900R;3981;;
Yaesu FT-8900R;3983;;
Yaesu FTM-10R;3984;;
Yaesu VX-8R;3989;;
Yaesu VX-110;3990;;
Yaesu VX-150;3991;;
Yaesu VX-120;3992;;
Yaesu VX-170 / VX-177;3993;;
Yaesu VX-6R;yaesu-vx-6r;;
Yaesu VX-7R;3995;;
Yaesu FT-950;3997;;
Yaesu FT-817;3998;;
Yaesu FT-857;3999;;
Yaesu FT-897D;4000;;
Yaesu FT-2000;4001;;
Yaesu FT-450D;4002;;
Yaesu FT DX 9000;4003;;
Yaesu FT-252;4007;;
Yaesu FT-1900R;4008;;
Yaesu FT-1907;4009;;
Yaesu VX-3R;4010;;
Радиал A0 UHF;4012;;
Радиал A6 UHF;radial-a6-uhf;;
Радиал A10 UHF;4014;;
Радиал D1 UHF;radial-d1-uhf;;
Радиал D2 UHF;radial-d2-uhf;;
Радиал D4 UHF;radial-d4-uhf;;
Радиал DP1 UHF;4018;;
Радиал DP2 UHF;radial-dp2-uhf;;
Радиал DP4 UHF;radial-dp4-uhf;;
Радиал DM4 UHF;4021;;
Радиал D8 UHF;radial-d8-uhf;;
Радиал А0 VHF;4023;;
Радиал A5-UHF;4024;;
Радиал A7 VHF;radial-a7-vhf;;
Радиал D1 VHF;radial-d1-vhf;;
Радиал D2 VHF;radial-d2-vhf;;
Радиал D4 VHF;radial-d4-vhf;;
Радиал D8 VHF;radial-d8-vhf;;
Радиал F1 VHF;radial-f1-vhf;;
Радиал F2 VHF;radial-f2-vhf;;
Fanvil F52;4033;;
Fanvil D900;4034;;
Fanvil C01;4035;;
Fanvil C66;4036;;
Fanvil D800;4037;;
Grandstream GXP2160;grandstream-gxp2160;;
Grandstream GXP2140;grandstream-gxp2140;;
Grandstream GXP1160;4041;;
Grandstream GXP1165;4042;;
Grandstream GXP2200;4043;;
Grandstream GXV-3175 v2;4046;;
Kenwood TK-3000M;kenwood-tk-3000m;;
Kenwood TK-2000M;kenwood-tk-2000m;;
Kenwood TK-3301E;4050;;
Kenwood TK-3407M2;kenwood-tk-3407m2;;
Kenwood TK-3406M2;kenwood-tk-3406m2;;
Kenwood TK-2407M;kenwood-tk-2407m;;
Kenwood TK-3307M2;4054;;
Fanvil C56;4055;;
Fanvil C58;4056;;
Alinco DR-135T MKIII;alinco-dr-135t-mkiii;;
Alinco DR-135FX;alinco-dr-135fx;;
Alinco DR-135LH;alinco-dr-135lh;;
Kenwood TK-2307;4074;;
Kenwood TK-3317M2;kenwood-tk-3317m2;;
Kenwood TK-2406M;kenwood-tk-2406m;;
Kenwood TK-2317M;kenwood-tk-2317m;;
Kenwood TK-3360M;kenwood-tk-3360m;;
Alinco DR-635T;alinco-dr-635t;;
Alinco DR-135CB;4081;;
Fanvil C62;4082;;
Fanvil D100;4084;;
Fanvil HT101;4085;;
Fanvil F52P;4087;;
Fanvil C56P;4088;;
Fanvil C58P;4089;;
Fanvil C10;4090;;
Grandstream UCM6102;4091;;
Kenwood TK-2360M;kenwood-tk-2360m;;
Kenwood TK-3306NM;4093;;
Kenwood TK-2306;4094;;
Kenwood TK-3212M;kenwood-tk-3212m;;
Grandstream UCM6104;4096;;
Kenwood TK-2212;4097;;
Kenwood TK-3180E;4098;;
Grandstream UCM6108;4099;;
Grandstream GXV-3140 v2;4100;;
Grandstream GXP-2124 v2;4101;;
Grandstream DP-715;4102;;
Kenwood TK-2180E;4103;;
Kenwood TK-280K;kenwood-tk-280k;;
Kenwood TK-2140;4106;;
Escene ES620-PE;4126;;
Escene ES410-PE;4127;;
Escene ES330-PEN;escene-es330-pen;;
Escene ES320-N;4129;;
Escene ES320-PN;4130;;
Escene ES292-N;4131;;
Escene ES292-PN;4132;;
Escene ES290-N;4133;;
Escene ES290-PN;4134;;
Escene ES220-N;4135;;
Escene ES220-PN;4136;;
Escene US102-YN;4137;;
Escene US102-PYN;4138;;
Escene CC800-N;escene-cc800-n;;
Escene CC800-PN;4140;;
Escene GS330-P;4141;;
Escene GS320-P;4142;;
Escene WS290-N;4145;;
Escene ESM 32;4146;;
Escene AD200;4147;;
Escene AD300;4148;;
Roger KP-14;4150;;
Roger KP-15;4164;;
Roger KP-16;4166;;
Roger KP-23;4168;;
Roger KP-47;4170;;
Roger KP-55;4171;;
Roger KP-60;4173;;
Yealink SIP-T48G;4191;;
Yaesu FTDX 3000D;4207;;
Yaesu FTDX 1200;4211;;
Yaesu MTU-80/40;4228;;
Yaesu MTU 30/20;4229;;
Ajetrays AR-440;4236;;
Ajetrays AJ-144;4239;;
Hytera X1e G;4244;;
Hytera PD505 VHF;hytera-pd505;;
Hytera PD605 G (MD);hytera-pd605;;
Ajetrays AJ-344V;4252;;
Ajetrays AJ-446;ajetrays-aj-446;;
Ajetrays AJ-447;ajetrays-aj-447;;
Ajetrays AJ-434;4255;;
Ajetrays AJ-450;4256;;
Ajetrays AJ-444;4257;;
Ajetrays AJ-344U;4258;;
Ajetrays AJBP-144L;4259;;
Hytera RD625;4262;;
Hytera RD985;hytera-rd985;;
Panasonic KX-NT321RU;4266;;
Panasonic KX-NT400RU;panasonic-kx-nt400ru;;
Panasonic KX-NT366RU;4268;;
Panasonic KX-NT346RU;4269;;
Panasonic KX-NT343RU;4271;;
Panasonic KX-NT700;4273;;
Panasonic KX-NT305X;4274;;
Milesight MS-C3366-VP;4289;;
Milesight MS-C2662-FP;4291;;
Milesight MS-C3372-VP;4292;;
Milesight MS-C2681-P;4293;;
Milesight MS-C3681-P;4294;;
Milesight MS-C3682-P;4295;;
Milesight MS-C2682-P;4296;;
Milesight MS-C2663-P;4297;;
Milesight MS-C3367-P;4298;;
Panasonic KX-NCP1000RU;4307;;
Panasonic KX-NCP500RU;4308;;
Panasonic KX-TDE100RU;4309;;
Panasonic KX-TDE200RU;4310;;
Panasonic KX-TDE600RU;4312;;
Panasonic KX-UT113RU-B;4313;;
Panasonic KX-UT123RU-B;4316;;
Panasonic KX-UT133RU-B;4317;;
Panasonic KX-UT136RU-B;4318;;
Panasonic KX-UT248RU-B;4319;;
Panasonic KX-UT670RU;4321;;
Ajetrays AJ-150;4329;;
АРГУТ А-23 NEW;argut-a-23-new;;
АРГУТ А-24 NEW;4332;;
АРГУТ А-41 NEW;argut-a-41-new;;
АРГУТ А-43;argut-a-43;;
АРГУТ А-44;4335;;
АРГУТ А-45;4336;;
АРГУТ А-53;4337;;
АРГУТ А-54;argut-a-54;;
АРГУТ А-75;4339;;
Midland G6XT;4342;;
Midland GXT 650;4343;;
Midland GXT 900;4344;;
Midland GXT-1050;4345;;
Midland G-3;4346;;
Midland G-10;4347;;
Midland G-14;4348;;
Panasonic BL-VP101E;4353;;
Panasonic BL-VP104E;4355;;
Panasonic BL-VP104WE;4356;;
Panasonic WV-SP102E;4357;;
Panasonic WV-SP105E;4360;;
Panasonic WV-NP502E;4361;;
Panasonic WV-SP302E;4362;;
Panasonic WV-SP305E;4363;;
Panasonic WV-SP306E;4377;;
Panasonic WV-SP508E;4378;;
Panasonic WV-SP509E;4379;;
Panasonic WV-SW316E;4380;;
Panasonic WV-SW316LE;4381;;
Panasonic WV-NW502SE;4382;;
Panasonic WV-SF132E;4383;;
Panasonic WV-SF135E;4384;;
Panasonic WV-SF138;4385;;
Panasonic WV-SF332E;4386;;
Panasonic WV-SF335E;4387;;
Panasonic WV-SF336E;4388;;
Panasonic WV-SF342E;4389;;
Panasonic WV-SF346E;4390;;
Panasonic WV-SF438E;4391;;
Panasonic WV-SF448E;4392;;
Panasonic WV-SF538E;4393;;
Panasonic WV-SF539E;4394;;
Panasonic WV-SFN631L;4395;;
Panasonic WV-SFN611L;4398;;
Panasonic WV-SF548E;4400;;
Panasonic WV-SF549E;4401;;
Panasonic WV-SFR631L;4402;;
Panasonic WV-SFR611L;4403;;
Panasonic WV-SW152E;4404;;
Panasonic WV-SW155E;4405;;
Panasonic WV-SW158;4406;;
Panasonic WV-SW115;4407;;
Panasonic WV-SW352E;4408;;
Panasonic WV-SW355E;4409;;
Panasonic WV-SW458E;4410;;
Panasonic WV-SW458ME;4411;;
Panasonic WV-SW558E;4412;;
Panasonic WV-SW559E;4413;;
Panasonic WV-SFV631L;4414;;
Panasonic WV-SFV611L;4415;;
Panasonic WV-ST162E;4420;;
Panasonic WV-ST165E;4421;;
Panasonic WV-SW172E;4424;;
Panasonic WV-SW175E;4425;;
Panasonic WV-SW174WE;4426;;
Panasonic BL-VT164E;4427;;
Panasonic WV-SC384E;4429;;
Panasonic WV-SC385E;4430;;
Panasonic WV-SC386E;4431;;
Panasonic WV-SC588;4432;;
Panasonic WV-SW395E;4433;;
Panasonic WV-SW395AE;4435;;
Panasonic WV-SW396E;4436;;
Panasonic WV-SW396AE;4437;;
Panasonic WV-SW598;4438;;
D-Link DPH-400S/E/F1;4477;;
D-Link DPH-150S/F2;4478;;
D-Link DPH-150SE/F2;4480;;
D-Link DPH-150SE/F3;4481;;
D-Link DPH-400S/E/F3;d-link-dph-400s-e-f3;;
D-Link DPH-400SE/E/F2;d-link-dph-400se-e-f2;;
D-Link DPH-400SE/E/F3;d-link-dph-400se-e-f3;;
AudioCodes 310HD (HDEPS);4523;;
AudioCodes 320HD (HDEPS);4525;;
Snom 300;4530;;
Snom 320;4531;;
Snom 370;4532;;
Snom 710;4533;;
Snom 720;4534;;
Snom 760;snom-760;;
Snom 821;4536;;
Snom 870;4537;;
Snom UC600;4538;;
Snom Meeting Point;4539;;
Snom M9;4540;;
Snom m9 Handset;4541;;
Snom HS-MM2;4542;;
Snom Keypad;4544;;
Snom Vision;4545;;
Snom Microphones;4546;;
Snom PA-1;4547;;
AudioCodes 310HD (HDPS);4550;;
AudioCodes 310HD (HDE);4551;;
AudioCodes 320HD (HDE);4552;;
AudioCodes 320HD (HDPS);4553;;
AudioCodes 420HD (HDEPS);4554;;
AudioCodes 420HD (HDE);4555;;
AudioCodes 420HD (HDPS);4556;;
AudioCodes 430HD (HDEPS);4557;;
AudioCodes 430HD (HDEPSG);4558;;
AudioCodes 430HD (HDEG);4559;;
AudioCodes 430HD (HDE);4560;;
AudioCodes 440HD (HDEG);4561;;
AudioCodes 440HD (HDEPSG);4562;;
Panasonic BL-VT164WE;4563;;
Alinco DR-435T;alinco-dr-435t;;
Alinco DR-M06R;alinco-dr-m06r;;
Alinco DJ-175;4566;;
Hytera TC-320;hytera-tc-320;;
Hytera TC-508;hytera-tc-508;;
Hytera TC-518;hytera-tc-518;;
Hytera TC-580;hytera-tc-580;;
Hytera TC-700;hytera-tc-700;;
Hytera TM-600;4573;;
Hytera TR-800;4574;;
Alinco DJ-C7;4575;;
Hytera AN0410H20;4576;;
Hytera AN0433H01;4577;;
Hytera AN0460H10;4578;;
Hytera PS0601;4579;;
Hytera PV1001;4580;;
Hytera PS4001;4581;;
Hytera CH05L01;4582;;
Hytera EHS12;4583;;
Hytera EHS09;4584;;
Hytera BL1715;4585;;
Hytera RO01;4586;;
Hytera PCN003;4587;;
Hytera BC16;4588;;
Hytera PC30;4589;;
Hytera ТС320/TC518 ПО;4590;;
Hytera AN0160H11;4591;;
Hytera AN0425H01;4592;;
Hytera AN0455H02;4593;;
Hytera AN0136H02;4594;;
Hytera AN0400W01;4595;;
Hytera BL1719;4596;;
Hytera BL1301;4597;;
Hytera CH10L19;4598;;
Hytera PS1018;4599;;
Hytera CHV09;4600;;
Hytera PS7002;4601;;
Hytera EHM15;4602;;
Hytera ESM12;4603;;
Hytera EAM12;4604;;
Hytera EAM13;4605;;
Hytera EAM15;4606;;
Hytera SM08M3;4607;;
Hytera ESS07;4608;;
Hytera ESS08;4609;;
Hytera LCYY02;4610;;
Hytera NCN001;4611;;
Hytera BC12;4612;;
Hytera RO03;4613;;
Hytera PC19;4614;;
Hytera PC26;4615;;
Hytera ТС508 ПО;4616;;
Hytera LCBN13;4623;;
Hytera TC580 ПО;4624;;
Hytera CH10L07;4625;;
Hytera EWM03;4626;;
Hytera LCBN41;4628;;
Hytera LCBN42;4629;;
Hytera NCN002;4630;;
Hytera RO04;4631;;
Hytera BC08;4632;;
Hytera BC09;4633;;
Hytera MCA03;4634;;
Hytera TC700 ПО;4635;;
Hytera BL1703;4636;;
Hytera BL2102;4637;;
Hytera BH1801;4638;;
Hytera PD705 (MD);4646;;
Hytera PD705;hytera-pd705;;
Grandstream GXV3240;4665;;
Hytera PD785;hytera-pd785;;
Motorola MBP11;4676;;
Motorola MBP16;4677;;
Motorola MBP28;4678;;
Motorola MBP28-2;4679;;
Motorola MBP33;4680;;
Motorola MBP36;4681;;
Motorola MBP26;4682;;
Motorola MBP41;4683;;
Motorola MBP43;4684;;
Hytera SM11R1;4685;;
Hytera SM07R2;4686;;
Hytera SM07R1;4687;;
Hytera SM10R2;4688;;
Hytera SM09S2;4689;;
Hytera BRK04;4690;;
Hytera PWC06;4691;;
Hytera POA15;4692;;
Hytera PC21;4693;;
Hytera TM600 ПО;4694;;
Hytera CP09;4695;;
Hytera X1e G (MD);4699;;
Hytera X1p G (MD);hytera-x1p;;
Hytera PWC03;4702;;
Hytera PWC04;4703;;
Hytera TR800 ПО;4704;;
AudioCodes MP112/2S/SIP;4706;;
AudioCodes MP114/4S/SIP;4707;;
AudioCodes MP114/2S/2O/SIP;4708;;
AudioCodes MP114/4O/SIP;4709;;
AudioCodes MP118/8S/SIP;4710;;
AudioCodes MP118/4S/4O/SIP;4711;;
AudioCodes MP118/8O/SIP;4712;;
AudioCodes MP124/16S/AC/SIP;4713;;
AudioCodes MP124/24S/AC/SIP;4714;;
AudioCodes M600/1Span;4721;;
AudioCodes M600/2Span;4722;;
AudioCodes M600/1Span/FS;4723;;
AudioCodes M600/1Span/FB;4724;;
AudioCodes M1K-D1;4725;;
AudioCodes M1K-D2;4726;;
AudioCodes M1K-D3;4727;;
AudioCodes M2K-D1;4728;;
AudioCodes M2K-D2;4729;;
AudioCodes M2K-D3;4730;;
AudioCodes M2K-D4;4731;;
AudioCodes M2K-D5;4732;;
Hytera PD795Ex G (MD);hytera-pd795ex;;
Hytera AN0141H03;4735;;
Hytera AN0153H04;4736;;
Hytera AN0167H03;4737;;
Hytera AN0435H04;4738;;
Hytera AN0155H02;4739;;
Hytera AN0155H04;4740;;
Hytera BC19;4741;;
Hytera LCY003;4742;;
Hytera LCY006;4743;;
Hytera CH10A07;4744;;
Hytera CH10A06;4745;;
Hytera MCA06;4746;;
Hytera MCA05;4747;;
Hytera MCA08;4748;;
Hytera BRK20;4749;;
Digium G200F;4752;;
Matrix EON48;4754;;
Matrix SETU VP248PE;4755;;
Matrix SETU VP248SE;4756;;
Matrix EONSOFT;4759;;
Alinco DJ-G7;alinco-dj-g7;;
Alinco DJ-S45TA;4764;;
D-Link DVG-2024S;4765;;
D-Link DVG-2032S/16CO/C1A;4766;;
D-Link DVG-3016S;4767;;
D-Link DVG-3032S;4768;;
D-Link DVG-5004S;4769;;
D-Link DVG-5008S;4770;;
Digium;4771;;
Digium G100F;4772;;
Digium G400F;4773;;
Digium G800F;4774;;
D-Link DVG-5112S;4781;;
D-Link DVG-6004S;4782;;
D-Link DVG-6008S;4783;;
D-Link DVG-7022S;4784;;
D-Link DVG-7044S;4785;;
D-Link DVG-7062S;4786;;
D-Link DVG-7111S;4787;;
Yeastar NeoGate TE100;4788;;
Yeastar NeoGate TB400;4789;;
Yeastar NeoGate TG200;4790;;
Alinco DJ-S45CQ;4791;;
Yeastar NeoGate TG400;4792;;
Yeastar NeoGate TG800;4793;;
Yeastar NeoGate TG100;4794;;
Hytera RD965;4802;;
Hytera AN0460M03;4803;;
Hytera AN0144M05;4804;;
Hytera PV3001;4805;;
Hytera PS7502;4806;;
Hytera SM18A1;4807;;
Hytera NCN010;4808;;
Hytera BRK17;4809;;
Hytera POA45;4811;;
Hytera PC37;4812;;
Hytera PC47;4813;;
Alinco DJ-V17;4814;;
Hytera PC49;4815;;
Hytera BC00005;4816;;
Hytera DT20;4817;;
Hytera DT18;4818;;
Alinco DJ-V17L;4820;;
Digium D40;4823;;
Digium D45;4824;;
Digium D50;4825;;
Digium D70;4826;;
Радиал DPR5-4V;radial-dpr5-4v;;
Радиал DPR5-6V;radial-dpr5-6v;;
Радиал DPR4-4V;radial-dpr4-4v;;
Радиал DPR4-6V;radial-dpr4-6v;;
Радиал DPRE4-4V;radial-dpre4-4v;;
Радиал DPRE4-6V;radial-dpre4-6v;;
Радиал DPRE4-6-2m;radial-dpre4-6-2m;;
Радиал DPR8-4V;radial-dpr8-4v;;
Радиал DPR8-6V;radial-dpr8-6v;;
Радиал DPR4-4U;radial-dpr4-4u;;
Радиал DPR8-4U;radial-dpr8-4u;;
Радиал DPRE5-4VL;radial-dpre5-4vl;;
Радиал DPRE5-4VH;radial-dpre5-4vh;;
Радиал DPRE5-6VL;radial-dpre5-6vl;;
Радиал DPRE5-6VH;radial-dpre5-6vh;;
Радиал DPRE4-4UL;radial-dpre4-4ul;;
Радиал DPRE4-4UM;radial-dpre4-4um;;
Радиал DPRE4-4UH;radial-dpre4-4uh;;
Радиал DPRE4-6UL;radial-dpre4-6ul;;
Радиал DPRE4-6UM;radial-dpre4-6um;;
Радиал DPRE4-6UH;radial-dpre4-6uh;;
Радиал DPF5-3V;radial-dpf5-3v;;
Радиал DPF5-4V;radial-dpf5-4v;;
Радиал DPF5-6V;radial-dpf5-6v;;
Радиал DPF8-4V;radial-dpf8-4v;;
Радиал DPF8-6V;radial-dpf8-6v;;
Радиал DPF4-4U;radial-dpf4-4u;;
Радиал DPF4-6U;radial-dpf4-6u;;
АГАТ UX-5111;4867;;
АГАТ UX-5110/FXO4;4868;;
Alinco DJ-V47;4869;;
Hytera PC40;4870;;
Hytera PWC11;4871;;
Hytera PS22002 (L);4872;;
Hytera SM16A1;4874;;
Hytera SM16A2;4875;;
Hytera SM10A1;4876;;
Hytera BRK09;4877;;
Hytera BRK16;4878;;
Hytera BRK12;4879;;
Hytera BRK14;4880;;
Hytera BRK19;4881;;
Радиал DPS5-4V;radial-dps5-4v;;
Радиал DPS5-6V;radial-dps5-6v;;
Радиал DPS8-4V;radial-dps8-4v;;
Радиал DPS8-6V;radial-dps8-6v;;
Радиал DPS4-6U;radial-dps4-6u;;
Радиал DPS2-12U;radial-dps2-12u;;
Радиал DPS2-12V;radial-dps2-12v;;
Alinco DJ-V57;alinco-dj-v57;;
Радиал MDF2-6V2/4,5;radial-mdf2-6v2-4-5;;
Радиал MDF2-6V1/2;radial-mdf2-6v1-2;;
Радиал MDF2-6V(M)2/4,5;radial-mdf2-6v-m-2-4-5;;
Радиал DPS2-6VM;radial-dps2-6vm;;
Радиал MDF1-6VM;radial-mdf1-6vm;;
Радиал MDF1-6VL4.5/6;radial-mdf1-6vl4-5-6;;
Радиал MDF1-6VL6/8;radial-mdf1-6vl6-8;;
Радиал MDF1-6VL8/10;radial-mdf1-6vl8-10;;
Радиал MDF1-6VH4.5/6;radial-mdf1-6vh4-5-6;;
Радиал MDF1-6VH6/8;radial-mdf1-6vh6-8;;
Радиал MDF1-6VH8/10;radial-mdf1-6vh8-10;;
Радиал MDF1-6VH-15;radial-mdf1-6vh-15;;
Радиал MDF1-12VH-4;4902;;
Радиал MDF2-8V;4903;;
Радиал MDF2-6V3-4.5UK;4904;;
Радиал MDF2-6VL-4.5/6HP;radial-mdf2-6vl-4-5-6hp;;
Радиал MDF2-6VH-4.5/6HP;radial-mdf2-6vh-4-5-6hp;;
Радиал MDF-6UL8/13;4907;;
Радиал MDF-6UM8/13;4908;;
Радиал MDF1-6UH5/8;radial-mdf1-6uh5-8;;
Радиал MDF1-6UL5/8;radial-mdf1-6ul5-8;;
Радиал MDF1-6UL-40;radial-mdf1-6ul-40;;
Радиал MDF1-6U-10;radial-mdf1-6u-10;;
Радиал MDF2-6U10-HP;radial-mdf2-6u10-hp;;
Hytera MD785 25W;hytera-md785-l;;
Hytera POA38;4917;;
Hytera PS2004;4918;;
Hytera BL2006;4919;;
Hytera BL2503;4920;;
Hytera SM18N2;4921;;
Hytera ESN12;4922;;
Hytera EHN16;4923;;
Hytera EHN17;4924;;
Hytera EAN23;4925;;
