IE_XML_ID;IE_NAME;IE_DETAIL_TEXT_TYPE
13157;Icom IC-FR6000C;html
13201;Ajetrays GR8600;html
13335;Motorola SLR 1000;html
13480;Yaesu DR-1X;html
13481;Yaesu DR-2X ;html
13942;Alinco RS-D7;html
13943;Alinco RS-D8;html
14033;Бизон KR100 50 Вт;html
14509;Caltta PR900;html
14511;Caltta PR800;html
14709;Motorola SLR 5500 300-360 МГц;html
14710;Motorola SLR 5500 403-470 МГц;html
14720;Комбат T-440R DMR;html
14722;Комбат Т-340R;html
14841;Racio RD1000;html
15286;Бизон KR100P;html
15290;Бизон KR100DS VHF/UHF;html
15291;Бизон KR100 25В;html
15332;Vostok DR-600 DMR;html
15333;Vostok RT-10;html
15393;Терек РТ-2800;html
15395;Терек РТ-9100;html
15432;Аргут DR50-DMR VHF;html
15434;Аргут DR50-DMR UHF;html
17250;Hytera RD985S 100W;html
3860;Yeastar MyPBX U520;html
3865;Yeastar MyPBX U510;html
3866;Yeastar MyPBX U500;html
3867;Yeastar MyPBX U300;html
3868;Yeastar MyPBX U200;html
3869;Yeastar MyPBX U100;html
3870;Yeastar MyPBX Standard;html
3871;Yeastar MyPBX SOHO;html
4091;Grandstream UCM6102;html
4096;Grandstream UCM6104;html
4099;Grandstream UCM6108;html
4307;Panasonic KX-NCP1000RU;html
4308;Panasonic KX-NCP500RU;html
4309;Panasonic KX-TDE100RU;html
4310;Panasonic KX-TDE200RU;html
4312;Panasonic KX-TDE600RU;html
4867;АГАТ UX-5111;html
4868;АГАТ UX-5110/FXO4;html
4997;АГАТ UX-3710;html
4998;АГАТ UX-3730;html
4999;АГАТ UX-2211;html
5002;АГАТ UX-3410;html
5003;АГАТ UX-3720;html
5004;АГАТ UX-3420;html
5009;АГАТ UX-3212;html
5049;Zycoo CooVox U20-A202;html
5050;Zycoo CooVox U20-A220;html
6170;ERICSSON-LG SBG-1000.STG;html
6653;LG-Ericsson LIK-Micro;html
6654;LG-ERICSSON LIK-MFIM50A;html
6655;LG-ERICSSON LIK-MFIM50B ;html
6656;LG-ERICSSON LIK-MFIM100;html
6657;LG-ERICSSON LIK-MFIM300;html
6658;LG-ERICSSON LIK-MFIM600;html
6659;LG-ERICSSON LIK-MFIM1200;html
6807;LG-ERICSSON CM-S2K.STG;html
6808;LG-ERICSSON CM-S1K.STG;html
6811;LG-ERICSSON CM-MGC2.STG;html
7189;Mocet IG7600;html
7195;Atcom IP-2G4A;html
7196;Atcom IP-4G;html
7197;Atcom IP01;html
7198;Atcom IP02;html
7199;Atcom IP08;html
7200;Atcom IP04;html
8058;Grandstream UCM6116;html
8423;Grandstream UCM6510;html
8741;OpenVox iCallDroid (1 FXO, 1 FXS);html
8742;OpenVox iCallDroid;html
8743;OpenVox iCallDroid spot;text
8744;OpenVox IX132;html
8745;OpenVox IX210;html
8753;Yeastar N824;html
9066;LG-ERICSSON SBG-1000.PKG;html
9331;Yeastar N1;html
10108;Avaya IPO 500 V2;html
10489;Yeastar N412;html
10568;Yeastar S100;html
10571;Yeastar S300;html
10572;Yeastar S20;html
10573;Yeastar S50;html
10574;Yeastar D30;html
11053;Panasonic KX-NS1000RU;html
11055;Panasonic KX-NS500RU;html
11297;Grandstream UCM6202;html
11298;Grandstream UCM6204;html
11300;Grandstream UCM6208;html
12690;Panasonic KX-HTS824RU;html
12692;Panasonic KX-NSX1000RU;html
12695;Panasonic KX-NSX2000RU;html
5153;Hanlong UC40;html
5154;Hanlong A320 HD IP3;html
5155;Hanlong A310 IP;html
5400;Plantronics BlackWire C520;html
5402;Plantronics BlackWire C420;html
5403;Plantronics Blackwire C310;html
5404;Plantronics Blackwire C320;html
5413;Plantronics BlackWire C620-M;html
5414;Plantronics SupraPlus BNC Wideband;html
5415;Plantronics SupraPlus NC Wideband USB;html
5416;Plantronics IP40;html
5417;Plantronics M22;html
5418;Plantronics DM15;html
5419;Plantronics MDA200;html
5420;Plantronics МО300;html
5421;Plantronics А10;html
5448;Plantronics CAB-Y;html
5449;Plantronics CAB-PC;html
5450;Plantronics HIC-1;html
5451;Plantronics U10P-S;html
5452;Plantronics Entera BNC;html
5453;Plantronics Entera NC;html
5454;Plantronics SupraPlus Wideband (PL-HW261);html
