IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE
10489;Yeastar N412;/upload/iblock/8de/yeastar-n412_2.jpg
10568;Yeastar S100;/upload/iblock/0f6/yeastar-s100-1.jpg
10571;Yeastar S300;/upload/iblock/936/yeastar-s300-1.jpg
10572;Yeastar S20;/upload/iblock/7ed/yeastar-s20-1.jpg
10573;Yeastar S50;/upload/iblock/007/yeastar-s50-1.jpg
10574;Yeastar D30;/upload/iblock/4d7/yeastar-d30-1.jpg
11053;Panasonic KX-NS1000RU;/upload/iblock/41b/kx_ns1000.jpg
11055;Panasonic KX-NS500RU;/upload/iblock/202/panasonic-kx_ns500ru_1.jpg
11297;Grandstream UCM6202;/upload/iblock/467/ucm6202_02.jpg
11298;Grandstream UCM6204;/upload/iblock/129/grandstream-ucm6204_3.jpg
11300;Grandstream UCM6208;/upload/iblock/d08/ucm6208_02.jpg
12690;Panasonic KX-HTS824RU;/upload/iblock/7cb/panasonic-kx_hts824ru_1.jpg
12692;Panasonic KX-NSX1000RU;/upload/iblock/b90/panasonic-kx_nsx1000ru_1.jpg
12695;Panasonic KX-NSX2000RU;/upload/iblock/b50/panasonic-kx_nsx2000ru_1.jpg
5153;Hanlong UC40;/upload/iblock/615/615fc346f0312c80569f9dc4862a4c48.JPG
5154;Hanlong A320 HD IP3;/upload/iblock/d58/d58598f014fd69b1465a732313de1ba8.JPG
5155;Hanlong A310 IP;/upload/iblock/a7a/a7af7e21171ec4d5a5783e4fa0354939.JPG
5400;Plantronics BlackWire C520;/upload/iblock/7b8/7b84a3de9532242fb6927a0f353906ef.jpg
5402;Plantronics BlackWire C420;/upload/iblock/ba1/ba1c7a565a4e3e57e899eb905cc20af0.jpg
5403;Plantronics Blackwire C310;/upload/iblock/694/694e00355bd8001372e20e27eeb3532c.jpg
5404;Plantronics Blackwire C320;/upload/iblock/382/382c25615dbb6f825b0d0bc41274c22f.jpg
5413;Plantronics BlackWire C620-M;/upload/iblock/162/162c94abd2b336f8b22349c93f4812a5.jpg
5414;Plantronics SupraPlus BNC Wideband;/upload/iblock/40c/40cc7d41010dfe25d0ca93e80cfd2fc1.jpg
5415;Plantronics SupraPlus NC Wideband USB;/upload/iblock/661/661400ff7a9ee0bfc22a4d30bdce2c2d.jpg
5416;Plantronics IP40;/upload/iblock/bd4/bd4f32263e2f8fb2c410cd6f36df3752.jpg
5417;Plantronics M22;/upload/iblock/713/7135d462edde3b207cba64a38a571fa1.jpg
5418;Plantronics DM15;/upload/iblock/a92/a9267a0b5309862b5f95ba020da776cd.jpg
5419;Plantronics MDA200;/upload/iblock/881/8818636b2cf1db91c8a2999aa0a54423.jpg
5420;Plantronics МО300;/upload/iblock/b89/b8962794e4d55341c45154f5c79ddc9c.jpg
5421;Plantronics А10;/upload/iblock/2f6/2f68a25a6178a2b08fa5dea688132e18.jpg
5448;Plantronics CAB-Y;/upload/iblock/c28/c28259c2fbc0325c05100218e362a8fc.jpg
5449;Plantronics CAB-PC;/upload/iblock/bd1/bd1b61b534e6950d78912edc45f09661.jpg
5450;Plantronics HIC-1;/upload/iblock/633/633f3ac6bd7aedcbc57524c17062a355.jpg
5451;Plantronics U10P-S;/upload/iblock/11a/11a5a03d8f81e2d5ca745abae4e608ea.jpg
5452;Plantronics Entera BNC;/upload/iblock/a45/a45812efdefe9c610eed57cfd42250ef.jpg
5453;Plantronics Entera NC;/upload/iblock/fd3/fd30c6edfd56dc2942ca16f6815068d7.jpg
5454;Plantronics SupraPlus Wideband (PL-HW261);/upload/iblock/f49/f496da9bae4330a0ea47ba3a3f2e9acb.jpg
5455;Plantronics SupraPlus Wideband (PL-HW251);/upload/iblock/643/6433b86ddd10e078bbf71c9fb18ee980.jpg
5456;Plantronics SupraPlus Wideband (PL-HW261N);/upload/iblock/285/28596a7747ed938ae2857d90ae86766f.jpg
5457;Plantronics SupraPlus Wideband (PL-HW251N);/upload/iblock/f7e/f7e97b2f97c6d74435f3f3330b2fb69d.jpg
5458;Plantronics EncorePro NC (PL-HW291N);/upload/iblock/c29/c2981251b01583715d39cbb1641a8bea.jpg
5459;Plantronics EncorePro BNC (PL-HW301N);/upload/iblock/0ab/0ab2a6676bdb34c6a75ee02fc7dc689c.jpg
5460;Jabra BIZ 2300 QD Duo;/upload/iblock/bcc/bcc5eb66ffc0180c538bda6850f391f6.jpg
5461;Jabra BIZ 2300 QD Mono;/upload/iblock/df2/df23dee51ac3da4d87333a7b43a276fd.jpg
5462;Jabra BIZ 2300 QD Duo Unify;/upload/iblock/5e5/5e57f0548f57c2347b01d018ecacb200.jpg
5463;Jabra BIZ 2300 QD Mono Unify;/upload/iblock/c83/c833eebb26e5e9518711067743bda990.jpg
5464;Jabra BIZ 2300 USB Microsoft Lync Duo;/upload/iblock/dde/dde95f9c6da68aa7151cb46130cdbbab.jpg
5465;Jabra BIZ 2300 USB UC Microsoft Lync Mono;/upload/iblock/fd0/fd06903f6296beb277a1db0a0fe3d3e4.jpg
5468;Jabra BIZ 2400 Mono 3-in-1 (2406-320-104);/upload/iblock/40f/40f19cc97b4c9b58949bbca7b690318e.jpg
5469;Jabra BIZ 2400 (II) Mono 3-in-1;/upload/iblock/9cb/9cbd6450aaa068889aa6808f8d8fbfb1.jpg
5470;Jabra BIZ 2400 Mono 3-in-1 (II);/upload/iblock/440/4401d954f9f4a103745050319a4aa418.jpg
5471;Jabra BIZ 2400 Mono (II) 3-in-1;/upload/iblock/1d0/1d005d600012fdb94c7be940c3048a47.jpg
5472;Jabra BIZ 2400 Mono (II) 3-in-1;/upload/iblock/776/7764c937d1c15de418fb868d087ebdeb.jpg
5473;Jabra BIZ 2400 Duo (II);/upload/iblock/178/jabra-biz-2400-duo.jpg
5474;Jabra BIZ 2400 Duo (II);/upload/iblock/602/jabra-biz-2400-duo.jpg
5475;Jabra BIZ 2400 Duo (II);/upload/iblock/559/jabra-biz-2400-duo.jpg
5476;Jabra BIZ 2400 Duo (II);/upload/iblock/d7d/jabra-biz-2400-duo.jpg
5477;Jabra BIZ 2400 Duo;/upload/iblock/1ba/1ba2c9ee16e6e0384732633f0c6befdf.jpg
5478;Jabra GN2000 Mono SoundTube Narrow Band (2003-320-104);/upload/iblock/912/912ee1bc9e3c455dff3f153aae9d9998.jpg
5479;Jabra GN2000 Mono NC WB (wideband) (2013-82-04) ;/upload/iblock/bc1/bc17d8f9e66877253904d0723185b370.jpg
10956;Jabra BIZ 2400 II Duo USB;/upload/iblock/595/jabra-biz-2400-ii-duo-usb.jpg
10957;Jabra BIZ 2400 II Mono USB 3 в 1;/upload/iblock/6c8/jabra-biz-2400-ii-mono-usb-3_1.jpg
10958;Jabra BIZ 2400 II Mono USB 3-1;/upload/iblock/bcf/jabra-biz-usb-cc.jpg
11043;Jabra BIZ 2400 II Duo USB 3-1;/upload/iblock/669/jabra-biz-2400-ii-duo-usb-cc.jpg
11045;Jabra BIZ 1500 Mono;/upload/iblock/c36/jabra-biz-1500-mono-qd-emea.jpg
11046;Jabra BIZ 1500 Duo;/upload/iblock/998/jabra_biz_1500_duo_qd.jpg
11047;Jabra BIZ 1500 Mono USB;/upload/iblock/1a8/jabra-biz-1500-mono-usb.jpg
11048;Jabra BIZ 1500 Duo USB;/upload/iblock/520/jabra-biz-1500-duo-usb.jpg
11049;Jabra EVOLVE 20 Stereo;/upload/iblock/ed2/jabra-evolve-20-ms-stereo.jpg
11156;Jabra EVOLVE 20 Mono;/upload/iblock/0a4/jabra_evolve_20_ms_mono.jpg
11157;Jabra EVOLVE 30 II Mono;/upload/iblock/0ec/jabra-evolve-30-ii-mono.jpg
11158;Jabra EVOLVE 30 II Stereo;/upload/iblock/c01/jabra-evolve-30-ii-stereo.jpg
11159;Jabra EVOLVE 40 Stereo;/upload/iblock/0c0/jabra-evolve-40-ms-stereo.jpg
11160;Jabra EVOLVE 40 Mono;/upload/iblock/24a/jabra-evolve-40-mono.jpg
11161;Jabra EVOLVE 65 Stereo;/upload/iblock/73e/jabra-evolve-65-ms-stereo.jpg
11162;Jabra EVOLVE 65 Mono;/upload/iblock/8b7/jabra-evolve-65-ms-mono.jpg
11163;Jabra EVOLVE 80;/upload/iblock/314/jabra-evolve-80.jpg
11166;Jabra UC VOICE 250;/upload/iblock/c35/jabra_uc_voice_250.jpg
11167;Jabra UC VOICE 550 Mono;/upload/iblock/ceb/jabra-uc-voice-550-mono.jpg
11170;Jabra PRO 9450 Flex EMEA;/upload/iblock/93e/jabra-pro-9450-flex-emea.jpg
11171;Jabra PRO 9450 Duo EMEA;/upload/iblock/288/jabra-pro-9450-duo-emea.jpg
11173;Jabra PRO 920;/upload/iblock/f41/jabra-pro-920.jpg
11174;Jabra PRO 920 Duo;/upload/iblock/c96/jabra-pro-920-duo.jpg
11175;Jabra PRO 930 Lync;/upload/iblock/76f/jabra-pro-930.jpg
11176;Jabra PRO 930 Duo ;/upload/iblock/d60/jabra-pro-930-duo-_2.jpg
11177;Jabra PRO 925 BT;/upload/iblock/642/jabra-pro-925-bt.png
11178;Jabra PRO 935 MS;/upload/iblock/3f8/jabra-pro-935.jpg
11182;Jabra MOTION UC ;/upload/iblock/f58/jabra-motion-uc.jpg
11183;Jabra MOTION UC+ ;/upload/iblock/dd0/jabra-motion-uc_.jpg
11184;Jabra MOTION OFFICE;/upload/iblock/2cb/jabra-motion-office.jpg
11187;Jabra Stealth UC;/upload/iblock/c3e/jabra-stealth-uc.jpg
11188;Jabra GN9120 Flex ;/upload/iblock/b1b/jabra-gn9120-flex.jpg
11189;Jabra GN9120 Midi;/upload/iblock/23c/jabra-gn9120-flex.jpg
11190;Jabra GN9120 Duo Flex ;/upload/iblock/b93/jabra-gn9120-duo-flex.jpg
11191;Jabra GN9120 Flex EHS;/upload/iblock/8c4/gn9120-flex-nc-mic.-ehs.jpg
11192;Jabra GN9120 Midi NF ;/upload/iblock/ce5/gn9120-flex-nc-mic.-ehs.jpg
11197;Jabra GN9120 Duo Flex EHS;/upload/iblock/648/jabra-gn9120-duo-flex-ehs.jpg
11198;Jabra GN9120 Flex Alcatel;/upload/iblock/ff6/gn9120-flex-alcatel.jpg
11199;Jabra GN9120 DECT;/upload/iblock/416/jabra-gn9120-dect.jpg
12108;Jabra EVOLVE 30 MS Mono USB;/upload/iblock/a02/jabra-evolve-30-mono.jpg
12109;Jabra EVOLVE 30 MS Stereo USB;/upload/iblock/e5d/jabra_evolve_ms_stereo_usb.jpg
13929;Snom A100D;/upload/iblock/df7/a100d_1.png
3911;Motorola MDRMN4028;/upload/iblock/6f9/6f9ca1f7fdc77b4a7480de7334d3e3a1.jpg
3912;Motorola HMN9727;/upload/iblock/4e2/4e2800c7f70b1d12e8cbd320c2b650e0.jpg
3913;Motorola BDN6667;/upload/iblock/f45/f453f01570d8690eee793084e3b5ecab.jpg
3914;Motorola MDPMMN4009;/upload/iblock/648/64892683b6a23b4e141adf0e7bc0d257.jpg
3915;Motorola MDPMLN4556;/upload/iblock/68c/68c5e1152d6c03db45704a3d010a99d8.jpg
3916;Motorola MDRMN5037;/upload/iblock/1f0/1f0ff35521a352386dee0e79337499d6.jpg
3917;Motorola MDPMMN4021;/upload/iblock/43e/43e6ed0d6637fd20ee888dfdf3bad376.jpg
3918;Motorola MDPMMN4027;/upload/iblock/68e/68ec153749682a4d5e583e4fcf34372d.jpg
3919;Motorola MDRMN4031;/upload/iblock/dff/dffff13dfa8da279229994eb3c43cefc.jpg
3920;Motorola MDRMN4018;/upload/iblock/e59/e59b5001d9d40f4bd807505f7ecd2355.jpg
3921;Motorola ENMN4012;/upload/iblock/db9/db9015d7a70081c95b00b454721fcf91.jpg
3922;Motorola MDPMLN4653;/upload/iblock/d5d/d5d997a84278f7b276fff1980a310520.jpg
3923;Motorola PMLN4605;/upload/iblock/903/90308f380c438a1dfda810d25dfe2966.jpg
3924;Motorola MDRMN4029;/upload/iblock/c93/c93704fd819d98a0fffb2a3117f1fea1.jpg
3925;Motorola MDRMN4021;/upload/iblock/247/24724974a5deb3184c49b4e59d25572f.jpg
3926;Motorola MDPMLN4519;/upload/iblock/586/58613a149dbb5860a4389e504b89448a.jpg
3927;Motorola HNN4003;/upload/iblock/a8b/a8b6f0a16d0b87d13151ae545671d974.jpg
3928;Motorola HNN4002;/upload/iblock/0c5/0c51eaeec6b3e6915f61aa22970d7720.jpg
3929;Motorola HNN4001;/upload/iblock/8aa/8aaf4753f5ee297aa2eb5ab181aa435b.jpg
3930;Motorola HNN9013;/upload/iblock/21e/21ee03d37853772cc56bf612fed981f7.jpg
3931;Motorola HNN9012;/upload/iblock/403/403deb0ad98234b61eb92540462089de.jpg
3932;Motorola HNN9011;/upload/iblock/91d/91d338d32777c15910f7cc2c9a778465.jpg
3933;Motorola HNN9010;/upload/iblock/f8b/f8b5162726916ae7adcc0f7a66827854.jpg
3934;Motorola HNN9009;/upload/iblock/176/176c820a05fe23172650a0c5dd5a897a.jpg
3935;Motorola HNN9008;/upload/iblock/8d6/8d687bd32a3fc754b30e3d6d02eefa33.jpg
