IE_XML_ID;IE_NAME;IE_CODE;IC_GROUP1
3835;Vector VT-44 H;vector-vt-44-h;Портативные радиостанции
11250;Vector VT-43 H2;vector-vt-43-h2;Портативные радиостанции
10102;TurboSky T9;turbosky-t9;Портативные радиостанции
10101;TurboSky T8;turbosky-t8;Портативные радиостанции
10100;TurboSky T7;turbosky-t7;Портативные радиостанции
10099;TurboSky T6;turbosky-t6;Портативные радиостанции
10098;TurboSky T5;turbosky-t5;Портативные радиостанции
10096;TurboSky T4;turbosky-t4;Портативные радиостанции
10095;TurboSky T3;turbosky-t3;Портативные радиостанции
14046;TurboSky T2;turbosky-t2;Портативные радиостанции
15321;Терек Спорт;terek-sport;Портативные радиостанции
13634;Терек РК-501;terek-rk-501;Портативные радиостанции
13609;Терек РК-401;terek-rk-401;Портативные радиостанции
15388;Терек РК-322 DMR PRO;terek-rk-322-dmr-pro;Портативные радиостанции
15389;Терек РК-322 DMR GPS;terek-rk-322-dmr-gps;Портативные радиостанции
13608;Терек РК-322 DMR;terek-rk-322-dmr;Портативные радиостанции
13606;Терек РК-322-2Д;terek-rk-322-2d;Портативные радиостанции
13600;Терек РК-301;terek-rk-301;Портативные радиостанции
13629;Терек РК-222;terek-rk-222;Портативные радиостанции
15146;Терек РК-212 Military;terek-rk-212-military-u;Портативные радиостанции
13605;Терек РК-202;terek-rk-202;Портативные радиостанции
13598;Терек РК-201;terek-rk-201;Портативные радиостанции
13633;Терек РК-102;terek-rk-102;Портативные радиостанции
15376;Терек РК-101;terek-rk-101;Портативные радиостанции
13632;Терек РЕСТО;terek-resto;Портативные радиостанции
14408;Roger KP-57;roger-kp-57;Портативные радиостанции
14822;Racio R900 VHF;racio-r900-vhf;Портативные радиостанции
14821;Racio R900 UHF;racio-r900-uhf;Портативные радиостанции
15169;Racio R810;racio-r810-dmr;Портативные радиостанции
14814;Racio R800;racio-r800;Портативные радиостанции
14813;Racio R700;racio-r700;Портативные радиостанции
16002;Racio R620;racio-r620;Портативные радиостанции
14810;Racio R610;racio-r610;Портативные радиостанции
14809;Racio R500;racio-r500;Портативные радиостанции
14808;Racio R300 VHF;racio-r300-vhf;Портативные радиостанции
14807;Racio R300 UHF;racio-r300-uhf;Портативные радиостанции
14806;Racio R210;racio-r210;Портативные радиостанции
14805;Racio R110;racio-r110;Портативные радиостанции
14804;Racio R100;racio-r100;Портативные радиостанции
15397;Motorola XT665d;motorola-xt665d;Портативные радиостанции
11327;Motorola XT460;motorola-xt460;Портативные радиостанции
11325;Motorola XT420;motorola-xt420;Портативные радиостанции
15394;Motorola XT225;motorola-xt225;Портативные радиостанции
8093;Motorola VX-261;motorola-vx-261;Портативные радиостанции
15398;Motorola TLKR T50;motorola-tlkr-t50;Портативные радиостанции
14907;Motorola TalkAbout T82;motorola-talkabout-t82;Портативные радиостанции
15400;Motorola Talkabout T62 RED;motorola-talkabout-t62-red;Портативные радиостанции
13368;Motorola TALKABOUT T42 (triple);motorola-talkabout-t42-triple;Портативные радиостанции
13369;Motorola TALKABOUT T42 (red);motorola-talkabout-t42-red;Портативные радиостанции
15399;Motorola Talkabout T42 QUAD;motorola-talkabout-t42-quad;Портативные радиостанции
10763;Motorola SL4010E;motorola-sl4010e;Портативные радиостанции
10761;Motorola SL4010E;motorola-sl4000e;Портативные радиостанции
14128;Motorola SL2600;motorola-sl2600;Портативные радиостанции
9368;Motorola SL1600;motorola-sl1600;Портативные радиостанции
