IE_XML_ID;IE_NAME;CP_QUANTITY;CV_PRICE_1
9481;ГРИФОН G-45;0;0.00
9479;Vertex Standard VX-264;0;0.00
9478;Vertex Standard VX-241;0;0.00
9472;Vertex Standard EVX-539 (IS);0;0.00
9471;Vertex Standard EVX-531 (IS);0;0.00
9465;Optim WT-556;0;0.00
9464;Optim WT-555;0;0.00
9408;АРГУТ А-36;0;0.00
9343;Hytera TC-780;0;0.00
9321;Vertex Standard EVX-Link;0;0.00
9283;Vertex Standard VZ-9;0;0.00
9144;AJETRAYS AJ-435;0;0.00
8979;Midland G-21;0;0.00
8978;Midland G9XT;0;0.00
8977;Midland G70XT;0;0.00
8976;Midland GXT-1000;0;0.00
8975;Midland GXT-850;0;0.00
8974;Midland LXT-325;0;0.00
8973;Midland Alan 42;0;0.00
8839;Yaesu FTA-310;0;0.00
8838;Yaesu FTA-550 AA;0;0.00
8833;Yaesu FTA-720;0;0.00
8832;Yaesu FTA-750L;0;0.00
8831;Yaesu FT-270R;0;0.00
8830;Yaesu FT1D;0;0.00
8725;Alinco DJ-V47R (body);0;0.00
8590;Icom IC-F4262DS #26;0;0.00
8589;Icom IC-F4262DS #27;0;0.00
8588;Icom IC-F4262DS #28;0;0.00
8587;Icom IC-F4262DS #29;0;0.00
8586;Icom IC-F4262DT #24;0;0.00
8585;Icom IC-F4262DT #23;0;0.00
8584;Icom IC-F4262DT #22;0;0.00
8582;Icom IC-F4162DT #84;0;0.00
8580;Icom IC-F4162DS #94;0;0.00
8565;Lira P-112L;0;0.00
8530;Kenwood NX-300E4;0;0.00
8529;Kenwood NX-300K4;0;0.00
8528;Kenwood NX-300K2;0;0.00
8516;Kenwood NX-300E;0;0.00
8515;Kenwood NX-200E;0;0.00
8479;Kenwood NX-200K;0;0.00
8458;Kenwood TK-3306NM3;0;0.00
8445;Kenwood TK-3170E6;0;0.00
8387;Icom IP-100H;0;0.00
8386;Icom IC-F61#63;0;0.00
8385;Icom IC-F51#62;0;0.00
8379;Icom IC-F4202DEX;0;0.00
8378;Icom IC-F4162DS #93;0;0.00
8254;Yaesu FTA-230;0;0.00
8253;Yaesu FT-60R;0;0.00
8252;Yaesu FT-257;0;0.00
8251;Yaesu VX-8DR;0;0.00
8250;Vector VT-44 Military Special (body);0;0.00
8213;Vector VT-44 Military Scout;0;0.00
8212;Vector VT-67;0;0.00
8055;Hytera PD365LF;0;0.00
8053;Hytera PD355LF;0;0.00
8052;Hytera PD355;0;0.00
8026;Icom ID-51;0;0.00
8025;Icom IC-E92D (IC-92AD);0;0.00
8024;Icom IC-F4029SDR;0;0.00
8018;Icom IC-F3162DT #86;0;0.00
8015;Icom IC-F3162DS #96;0;0.00
8014;Icom IC-F3162DS #95;0;0.00
8007;Icom IC-F3262DT #74;0;0.00
8006;Icom IC-F3262DT #73;0;0.00
8005;Icom IC-F3262DT #72;0;0.00
8003;Icom IC-F3262DS #79;0;0.00
8002;Icom IC-F3262DS #78;0;0.00
8001;Icom IC-F3262DS #77;0;0.00
8000;Icom IC-F3262DS #76;0;0.00
7982;Icom IC-F3202DEX;0;0.00
7907;Icom IC-F2000;0;0.00
7906;Icom IC-F1000;0;0.00
7858;Kenwood NX-200-ISK;0;0.00
7830;Icom IC-4088SR;0;0.00
7782;Roger KP-50;0;0.00
7781;Roger KP-49;0;0.00
7780;Roger KP-19;0;0.00
7779;Roger KP-17;0;0.00
7610;Kenwood Nexedge NX-300-ISK4;0;0.00
7609;Kenwood Nexedge IS300K4BP0N;0;0.00
7608;Kenwood Nexedge IS200K2BP0N;0;0.00
7605;Kenwood IS300K2BP0N;0;0.00
7604;Kenwood IS200KBP0N;0;0.00
7602;Kenwood TK-2180-ISK2;0;0.00
7600;Kenwood IS-3180K2BP1N;0;0.00
7599;Kenwood IS-3180K4BP1N (Full Keypad);0;0.00
7598;Kenwood IS-2180K2BP1N (Full Keypad);0;0.00
7586;Kenwood IS-2180KBP1N;0;0.00
7582;Kenwood TK-2260EXE2;0;0.00
7581;Kenwood TK-D300E2;0;0.00
7580;Kenwood TK-D300E;0;0.00
7579;Kenwood TK-D300GE2;0;0.00
7578;Kenwood TK-D300GE;0;0.00
7577;Kenwood TK-D200E2;0;0.00
7576;Kenwood TK-D200E;0;0.00
7575;Kenwood TK-D200GE2;0;0.00
7574;Kenwood TK-D200GE;0;0.00
7571;Kenwood TK-3160M3;0;0.00
7570;Kenwood TK-270GM;0;0.00
7516;Kenwood PKT-03;0;0.00
7246;Vostok ST-201;0;0.00
7242;Vostok ST-51;0;0.00
6136;Бизон KT45;0;0.00
6083;Ajetrays AJ-436;0;0.00
5844;Lira P-110L;0;0.00
5843;Lira P-210L;0;0.00
5842;Lira P-312;0;0.00
5834;Lira P-280L;0;0.00
