IE_XML_ID;IE_NAME;IE_CODE
10956;Jabra BIZ 2400 II Duo USB;10956
10957;Jabra BIZ 2400 II Mono USB 3 в 1;10957
10958;Jabra BIZ 2400 II Mono USB 3-1;10958
11043;Jabra BIZ 2400 II Duo USB 3-1;11043
11045;Jabra BIZ 1500 Mono;11045
11046;Jabra BIZ 1500 Duo;11046
11047;Jabra BIZ 1500 Mono USB;11047
11048;Jabra BIZ 1500 Duo USB;11048
11049;Jabra EVOLVE 20 Stereo;11049
11156;Jabra EVOLVE 20 Mono;11156
11157;Jabra EVOLVE 30 II Mono;11157
11158;Jabra EVOLVE 30 II Stereo;11158
11159;Jabra EVOLVE 40 Stereo;11159
11160;Jabra EVOLVE 40 Mono;11160
11161;Jabra EVOLVE 65 Stereo;11161
11162;Jabra EVOLVE 65 Mono;11162
11163;Jabra EVOLVE 80;11163
11166;Jabra UC VOICE 250;11166
11167;Jabra UC VOICE 550 Mono;11167
11170;Jabra PRO 9450 Flex EMEA;11170
11171;Jabra PRO 9450 Duo EMEA;11171
11173;Jabra PRO 920;11173
11174;Jabra PRO 920 Duo;11174
11175;Jabra PRO 930 Lync;11175
11176;Jabra PRO 930 Duo ;11176
11177;Jabra PRO 925 BT;11177
11178;Jabra PRO 935 MS;11178
11182;Jabra MOTION UC ;11182
11183;Jabra MOTION UC+ ;11183
11184;Jabra MOTION OFFICE;11184
11187;Jabra Stealth UC;11187
11188;Jabra GN9120 Flex ;11188
11189;Jabra GN9120 Midi;11189
11190;Jabra GN9120 Duo Flex ;11190
11191;Jabra GN9120 Flex EHS;11191
11192;Jabra GN9120 Midi NF ;11192
11197;Jabra GN9120 Duo Flex EHS;11197
11198;Jabra GN9120 Flex Alcatel;11198
11199;Jabra GN9120 DECT;11199
12108;Jabra EVOLVE 30 MS Mono USB;12108
12109;Jabra EVOLVE 30 MS Stereo USB;12109
13929;Snom A100D;13929
3911;Motorola MDRMN4028;3911
3912;Motorola HMN9727;3912
3913;Motorola BDN6667;3913
3914;Motorola MDPMMN4009;3914
3915;Motorola MDPMLN4556;3915
3916;Motorola MDRMN5037;3916
3917;Motorola MDPMMN4021;3917
3918;Motorola MDPMMN4027;3918
3919;Motorola MDRMN4031;3919
3920;Motorola MDRMN4018;3920
3921;Motorola ENMN4012;3921
3922;Motorola MDPMLN4653;3922
3923;Motorola PMLN4605;3923
3924;Motorola MDRMN4029;3924
3925;Motorola MDRMN4021;3925
3926;Motorola MDPMLN4519;3926
3927;Motorola HNN4003;3927
3928;Motorola HNN4002;3928
3929;Motorola HNN4001;3929
3930;Motorola HNN9013;3930
3931;Motorola HNN9012;3931
3932;Motorola HNN9011;3932
3933;Motorola HNN9010;3933
3934;Motorola HNN9009;3934
3935;Motorola HNN9008;3935
3936;Motorola EN1009;3936
3937;Motorola EN1008;3937
3938;Motorola EN1007;3938
3939;Motorola EN1006;3939
3940;Motorola WPLN418;3940
3941;Motorola MDHTN3001;3941
3942;Motorola WPLN4194;3942
3943;Motorola WPLN4189;3943
3944;Motorola HLN9952;3944
3945;Motorola HLN9689;3945
3946;Motorola HLN9665;3946
3947;Motorola PMLN4471;3947
3948;Motorola PMLN4421;3948
3949;Motorola PMLN4470 N;3949
3950;Motorola PMMN4056;3950
3951;Motorola PMMN4055;3951
3952;Motorola PMLN5154;3952
3953;Motorola PMLN5152;3953
3954;Motorola PMLN5151;3954
3955;Motorola GMMN1111;3955
3956;Motorola NNTN5510;3956
3957;Motorola GMLN1111;3957
3958;Motorola GMLN1110;3958
3959;Motorola GMLN1113;3959
3960;Motorola GMLN1112;3960
4259;Ajetrays AJBP-144L;4259
4576;Hytera AN0410H20;4576
4577;Hytera AN0433H01;4577
4578;Hytera AN0460H10;4578
4579;Hytera PS0601;4579
4580;Hytera PV1001;4580
4581;Hytera PS4001;4581
4582;Hytera CH05L01;4582
4583;Hytera EHS12;4583
4584;Hytera EHS09;4584
4585;Hytera BL1715;4585
4586;Hytera RO01;4586
4587;Hytera PCN003;4587
4588;Hytera BC16;4588
4589;Hytera PC30;4589
4590;Hytera ТС320/TC518 ПО;4590
4591;Hytera AN0160H11;4591
4592;Hytera AN0425H01;4592
4593;Hytera AN0455H02;4593
4594;Hytera AN0136H02;4594
4595;Hytera AN0400W01;4595
4596;Hytera BL1719;4596
4597;Hytera BL1301;4597
4598;Hytera CH10L19;4598
4599;Hytera PS1018;4599
4600;Hytera CHV09;4600
4601;Hytera PS7002;4601
4602;Hytera EHM15;4602
4603;Hytera ESM12;4603
4604;Hytera EAM12;4604
4605;Hytera EAM13;4605
4606;Hytera EAM15;4606
4607;Hytera SM08M3;4607
4608;Hytera ESS07;4608
4609;Hytera ESS08;4609
4610;Hytera LCYY02;4610
4611;Hytera NCN001;4611
4612;Hytera BC12;4612
4613;Hytera RO03;4613
4614;Hytera PC19;4614
4615;Hytera PC26;4615
4616;Hytera ТС508 ПО;4616
4623;Hytera LCBN13;4623
4624;Hytera TC580 ПО;4624
4625;Hytera CH10L07;4625
4626;Hytera EWM03;4626
4628;Hytera LCBN41;4628
4629;Hytera LCBN42;4629
4630;Hytera NCN002;4630
4631;Hytera RO04;4631
4632;Hytera BC08;4632
4633;Hytera BC09;4633
4634;Hytera MCA03;4634
4635;Hytera TC700 ПО;4635
4636;Hytera BL1703;4636
4637;Hytera BL2102;4637
4638;Hytera BH1801;4638
4735;Hytera AN0141H03;4735
4736;Hytera AN0153H04;4736
4737;Hytera AN0167H03;4737
4738;Hytera AN0435H04;4738
4739;Hytera AN0155H02;4739
4740;Hytera AN0155H04;4740
4741;Hytera BC19;4741
4742;Hytera LCY003;4742
4743;Hytera LCY006;4743
4744;Hytera CH10A07;4744
4745;Hytera CH10A06;4745
4746;Hytera MCA06;4746
4747;Hytera MCA05;4747
4748;Hytera MCA08;4748
4749;Hytera BRK20;4749
4805;Hytera PV3001;4805
4917;Hytera POA38;4917
4918;Hytera PS2004;4918
4919;Hytera BL2006;4919
4920;Hytera BL2503;4920
4921;Hytera SM18N2;4921
4922;Hytera ESN12;4922
4923;Hytera EHN16;4923
4924;Hytera EHN17;4924
4925;Hytera EAN23;4925
4926;Hytera ES-01;4926
4927;Hytera ES-02;4927
4928;Hytera EH-01;4928
4929;Hytera EH-02;4929
5157;Hytera EAN17;5157
5158;Hytera EAN18;5158
5159;Hytera EWN09;5159
5160;Hytera POA42;5160
5171;Hytera NCN009;5171
5173;Hytera CH04L01;5173
5174;Hytera CH10L15;5174
5175;Hytera MCA05-X;5175
5176;Hytera MCA10;5176
5212;Hytera POA53;5212
5216;Hytera BC00006;5216
5217;Hytera PC38;5217
5218;Hytera SM18N4-Ex;5218
5219;Hytera BL1807-Ex;5219
5220;Hytera LCY005;5220
5221;Hytera POA47;5221
5222;Hytera EHW02;5222
5224;Hytera EWN08;5224
5225;Hytera EWN07;5225
5227;Hytera EAN21;5227
5228;Hytera EAN19;5228
5229;Hytera ACN-02;5229
5230;Hytera EAN22;5230
5231;Hytera EHN21;5231
5232;Hytera EHN20;5232
5233;Hytera ESN14;5233
5234;Hytera BL1809;5234
5235;Hytera BL1401;5235
5236;Hytera BL1103;5236
5238;Hytera BC00009;5238
5239;Hytera PC45;5239
5240;Hytera BC00008;5240
5243;Hytera PC43;5243
5244;Hytera BC00004;5244
5804;Lira B-580P;5804
5805;Lira A-SMAF-UVL;5805
5806;Lira CH-580;5806
5808;Lira Clip-580;5808
5809;Lira PR-COM-K;5809
5810;Lira HS-BE-K;5810
5811;Lira HS-CC-K;5811
5812;Lira ТP-K;5812
5822;Lira B-510H;5822
5830;Lira A-SMAF-UL;5830
5832;Lira CH-510;5832
5833;Lira Clip-510;5833
5835;Lira B280P;5835
5836;Lira CH-280;5836
5837;Lira Clip-280;5837
5838;Lira PR-COM-M;5838
5839;Lira HS-CC-M;5839
5840;Lira HS-BE-M;5840
5841;Lira ТP-M;5841
5845;Lira B312P;5845
5846;Lira B210P;5846
5847;Lira B110P;5847
5848;Lira CH-312;5848
5849;Lira CH-210;5849
5850;Lira CH-110;5850
5851;Lira Clip-312;5851
5852;Lira Clip-210;5852
5853;Lira Clip-110;5853
5986;Lira A-SMAM-US;5986
6137;Бизон KB26;6137
6138;Бизон KB 23;6138
6139;Бизон KB16;6139
6140;Бизон KL45;6140
6145;Бизон KH85;6145
6146;Бизон CH6;6146
6147;Бизон A2UV;6147
6148;Бизон PR01;6148
6149;Бизон PW9000;6149
6152;Бизон KP15;6152
7248;Vostok BP-51;7248
7249;Vostok BP-54;7249
7250;Vostok BP-55;7250
7251;Vostok BP-101;7251
7252;Vostok BP-201;7252
7253;Vostok BP-31H;7253
7254;Vostok ВС-51;7254
7255;Vostok BC-54;7255
7256;Vostok BC-55+AC-55;7256
7257;Vostok ВС-101+AC-101;7257
7258;Vostok ВС-201+AC-201;7258
7259;Vostok ВС-31;7259
7260;Vostok AL-51;7260
7261;Vostok AL-54;7261
7262;Vostok AL-55;7262
7263;Vostok AL-101;7263
7264;Vostok AL-201;7264
7265;Vostok AL-31;7265
7266;Vostok CL-51;7266
7267;Vostok CL-54;7267
7268;Vostok CL-55;7268
7269;Vostok CL-101;7269
7270;Vostok CL-201;7270
7271;Vostok CL-31;7271
7272;Vostok BE-101;7272
7273;Vostok SM-101;7273
7274;Vostok AL-101L(male);7274
7275;Vostok AL-101L(female);7275
7276;Vostok UHF(f) - SMA(f);7276
7277;Vostok UHF(f) - SMA(m);7277
7278;Vostok PC(USB);7278
7775;Аргут НМ-10;7775
7969;AjetRays AJ-EB04;7969
7970;AjetRays AJ-EG01;7970
7971;AjetRays AJ-EG05;7971
7972;AjetRays AJ-EG06;7972
7983;AjetRays AJ-EG10;7983
7984;AjetRays AJ-EG13;7984
7985;AjetRays AJ-HK05 (HK-05);7985
7986;AjetRays AJ-HK05 (HK-05) к AJ-144/150;7986
7987;AjetRays AJ-KQ08;7987
7988;AjetRays AJ-KQ08 к AJ-144/150	;7988
7989;AjetRays EMP-803;7989
7990;AjetRays EMP-806;7990
7992;AjetRays EMP-808;7992
8059;Чехол АРГУТ А-23 new;8059
8060;Чехол АРГУТ А-24 new;8060
8061;Чехол АРГУТ А-25;8061
8062;Чехол АРГУТ А-43;8062
8063;Чехол АРГУТ А-44;8063
8064;Чехол АРГУТ А-45;8064
8065;Чехол АРГУТ А-41 new;8065
8066;Чехол АРГУТ А-53;8066
8067;Чехол АРГУТ А-54;8067
8068;АРГУТ ТШ-1;8068
8069;Аргут НМ-11;8069
8070;Аргут НМ-11 VOX;8070
8071;Аргут НМ-21;8071
8163;Аргут ОРК-1;8163
8543;Vector HM-44;8543
8760;Vector HS-44C;8760
8761;Vector HT-44-2;8761
8762;Vector HT-44-3;8762
9745;АРГУТ SMP-01;9745
9905;Motorola PMNN4253;9905
9906;Motorola PMNN4254;9906
9907;Motorola NNTN4851;9907
9908;Motorola NNTN4970;9908
9909;Motorola NNTN4497;9909
9910;Motorola PMNN4450;9910
9911;Motorola PMNN4258;9911
9912;Motorola PMNN4251;9912
9913;Motorola PMLN5192;9913
9914;Motorola PMLN6598;9914
9915;Motorola PMLN7089;9915
9916;Motorola PMLN6542;9916
9917;Motorola PMLN6541;9917
9918;Motorola PMLN6533;9918
9919;Motorola PMNN4440;9919
9920;Motorola PMLN5188;9920
9921;Motorola PMLN5196;9921
9924;Motorola PMPN4006;9924
9925;Motorola PMLN5727;9925
9926;Motorola PMLN5733;9926
9927;Motorola PMLN5732;9927
9928;Motorola PMLN6635 ;9928
9929;Motorola PMLN5731;9929
10082;тестовый товар;10082
10492;TurboSky TK-1;10492
10493;TurboSky TK-2;10493
10494;TurboSky TK-3 Black;10494
10511;TurboSky TK-3 White;10511
10512;TurboSky TK-4;10512
10513;TurboSky TK-5;10513
10514;TurboSky TK-8;10514
10542;АКБ TurboSky T3;10542
10543;АКБ TurboSky T4;10543
10544;АКБ TurboSky T5;10544
10545;АКБ TurboSky T6;10545
10546;АКБ TurboSky T7;10546
10547;АКБ TurboSky T8;10547
10548;АКБ TurboSky T9;10548
10549;АКБ Turbosky R2;10549
10550;АКБ Comrade R3;10550
10551;АКБ Comrade R4;10551
10552;АКБ Comrade R5;10552
10553;АКБ Comrade R6;10553
10554;АКБ Comrade R7;10554
10555;АКБ Comrade R8;10555
10817; TurboSky TV-2;10817
10823; TurboSky TV-3 Black;10823
10824;TurboSky TV-3 White;10824
10825;TurboSky TV-4;10825
10826;TurboSky TV-4B;10826
10827;TurboSky TV-6;10827
10849;TurboSky TY-2;10849
10946;Comrade CM-1 PMR;10946
10947;Comrade CM-2;10947
10948;Comrade CM-3 Black;10948
10949;Comrade CM-3 White;10949
10950;Comrade CM-2 PMR;10950
10951;Comrade CM-6 PMR;10951
11301;Аргут БЗУ-640;11301
11302;Аргут А-43 З/У;11302
11307;Аргут L-02-01;11307
11326;Аргут L-02-11;11326
11353;Аргут АКБ А-53/54/74;11353
11354;Аргут АКБ А-75;11354
11355;Аргут АКБ А-41;11355
11361;Аргут АКБ А-21;11361
11362;Аргут АКБ А-23/24 new;11362
11363;Аргут L-03-K;11363
11388;Vostok BP-52;11388
11389;Vostok AL-52;11389
11390;Vostok BC-52;11390
11391;Vostok AL-52S;11391
11392;Vostok CL-52;11392
11568;Аргут L-01P;11568
11569;Аргут АКБ А-23/24 (1200 мАч);11569
11570;АКБ ГРИФОН G-45;11570
11572;АКБ ГРИФОН G-44;11572
11573;Аргут АКБ А-43/44/45;11573
11576;Аргут А-23/24 new З/У;11576
11578;Аргут А-41 new З/У;11578
11581;Автоадаптер Аргут А-43/44/45  ;11581
11991;Vostok BTHS-1;11991
11992;Vostok BTHDH-12;11992
11993;Vostok BTHDH-14;11993
11994;Vostok BTCM-1;11994
11995;Vostok BTP-1 ;11995
11996;Vostok BTP-2;11996
11997;Vostok BTSM-1;11997
11998;Vostok HDH-12С1;11998
11999;Vostok HDH-12СA ;11999
12000;Vostok HDH-12P1 ;12000
12001;Vostok HDH-14С1 ;12001
12002;Vostok HDH-14СA ;12002
12003;Vostok HDH-14P1;12003
12004;Vostok HDH-16ANC1 ;12004
12005;Vostok HDH-16ANCA ;12005
12006;Vostok HDH-16ANCP1 ;12006
12007;Vostok HB-1M ;12007
12008;Vostok HBC-1 ;12008
12009;Vostok HB1D-1 ;12009
12010;Vostok HB2D-1 ;12010
12012;Vostok HLG-1  ;12012
12013;Vostok HLG-2;12013
12016;Vostok P-1 ;12016
12017;Vostok P-2;12017
12604;Motorola PMLN5096;12604
12633;Motorola PMNN4458;12633
12634;Motorola PMNN4259;12634
12635;Motorola BDN6720;12635
12665;Motorola PMLN6854;12665
12666;Motorola PMNN4502 ;12666
12667;Motorola PMNN4511 ;12667
12668;Motorola PMLN7269 ;12668
12669;Motorola PMLN6754;12669
12670;Motorola PMLN7464;12670
12672;Motorola PMLN6760;12672
12673;Motorola PMLN6763;12673
12678;Motorola NNTN8359A;12678
12679;Motorola PMNN4493 ;12679
12680;Motorola PMNN4488;12680
12682;Motorola PMNN4491;12682
12684;Motorola PMNN4490;12684
12685;Motorola PMNN4409;12685
12687;Motorola PMNN4406;12687
12688;Motorola PMNN4412;12688
12689;Motorola PMNN4415;12689
12691;Motorola PMNN4416;12691
12693;Motorola PMNN4417;12693
12694;Motorola PMNN4418;12694
12696;Motorola PMNN4489;12696
12697;Motorola PMNN4525;12697
12700;Motorola NNTN8129;12700
12701;Motorola NNTN8560;12701
12703;Motorola PMLN7181;12703
12704;Motorola PMLN6127;12704
12706;Motorola PMLN6128;12706
12707;Motorola PMLN6129;12707
12710;Motorola PMLN6130;12710
12711;Motorola PMLN6123;12711
12712;Motorola PMLN6124;12712
12714;Motorola PMLN5101;12714
12715;Motorola PMLN5102;12715
12717;Motorola PMLN6852;12717
12719;Motorola PMLN6853;12719
12720;Motorola PMLN5974;12720
12722;Motorola PMLN5979;12722
12724;Motorola PMLN5973;12724
12725;Motorola PMLN5975A;12725
12727;Motorola PMLN5976;12727
12729;Motorola RLN6490 ;12729
12731;Motorola RMN5058;12731
12732;Motorola PMLN7189;12732
12733;Motorola PMLN7159;12733
12734;Motorola PMNN4101;12734
12737;Motorola PMNN4102;12737
12738;Motorola PMNN4103;12738
12749;Vertex Standard FNB-V136-UNI;12749
12750;Vertex Standard FNB-V133Li-UNI;12750
12824;Vertex Standard FNB-V134Li-UNI;12824
12825;Vertex Standard FNB-V134LIIS-UNI;12825
12826;Vertex Standard FNB-V127LI-UNI;12826
12827;Vertex Standard FNB-V128Li-UNI;12827
12828;Vertex Standard FNB-V129Li-UNI;12828
12829;Vertex Standard FNB-V131Li-UNI;12829
12836;Vertex Standard FNB-V132Li-UNI;12836
12837;Vertex Standard FNB-V106;12837
12883;Vertex Standard FNB-V94;12883
12884;Vertex Standard MH-100;12884
12886;Vertex Standard MH-37A4B-1;12886
12887;Vertex Standard VH-150 A;12887
12888;Vertex Standard VH-150 B;12888
12889;Vertex Standard MH-101A4B;12889
12890;Vertex Standard MH-102A4B;12890
12892;Vertex Standard VH-115S;12892
12893;Vertex Standard VH-215S;12893
12894;Vertex Standard VH-121;12894
12895;Vertex Standard VH-131;12895
12896;Vertex Standard VH-111;12896
13244;Аргут НМ-22;13244
13512;Комбат стакан IT ;13512
13514;Комбат BP-1;13514
13516;Комбат АПМ-22;13516
13517;Комбат IT АПМ-31;13517
13518;Комбат IT АПМ-42;13518
13519;Гарнитура-ларингофон Комбат IT ГЛ-34;13519
13520;Комбат HU-30;13520
13521;Комбат ПР-54U;13521
13522;Комбат IT ТПП-03К;13522
13523;Комбат ТПП-04К;13523
13648;Терек ГУН-400;13648
13649;Терек ГУН-Ресто;13649
13650;Терек ГПШ-300;13650
13651;Терек ГЛС-270;13651
13654;Терек ГЛС-520;13654
13655;Терек ГСН-800;13655
13656;Терек ГСН-900;13656
13657;Терек ТНГ-200;13657
13658;Терек ТТНГ-100РЧ;13658
13663;Терек ТУЗ-425;13663
13664;Терек ГКП-180;13664
13665;Терек ГДО-700;13665
13667;Терек ГМД-600;13667
13668;Терек ГСН-555;13668
13669;Терек ГУН-777;13669
13670;Терек Орфей 565;13670
13673;Терек АШ РК-301;13673
13675;Терек АШ РК-322;13675
13676;Терек АШ-РК201;13676
13677;Терек АШ-РК202;13677
13678;Терек АШ РК-401;13678
13680;Терек АШ-Старт;13680
13682;Терек АШ-Старт М;13682
13684;Терек АКЛ РК-301П;13684
13686;Терек АКЛ РК-322П;13686
13687;Терек АКЛ РК-201П;13687
13692;Терек АКЛ РК-202П;13692
13694;Терек АКЛ РК-401П;13694
13695;Терек АКЛ Старт;13695
13696;Терек ЗУ РК-301;13696
13698;Терек ЗУ РК-322;13698
13699;Терек ЗУ РК-201;13699
13700;Терек ЗУ РК-202;13700
13701;Терек ЗУ РК-401;13701
13702;Терек ЗУ Старт;13702
13704;Терек 6П-ЗУ;13704
13706;Терек 6П-ЗУ Старт;13706
13708;Терек БПА РК;13708
13709;Терек Клипса РК;13709
13710;Терек Клипса Старт;13710
13711;Терек Чехол РК-301;13711
13712;Терек Чехол РК-201;13712
13713;Терек Чехол РК-202;13713
13714;Терек Чехол РК-322;13714
13715;Терек Чехол универсальный;13715
13717;Терек Кабель РК-401;13717
13718;Терек Кабель Ресто;13718
