IE_XML_ID;IE_NAME
7583;Kenwood TK-3260EXE2
4095;Kenwood TK-3212M
7857;Kenwood TK-3180-ISK4
7603;Kenwood TK-3180-ISK2
7517;Kenwood TK-3000M2
4048;Kenwood TK-3000M
4105;Kenwood TK-280K
4053;Kenwood TK-2407M
4076;Kenwood TK-2406M
4092;Kenwood TK-2360M
8459;Kenwood TK-2317M2
4077;Kenwood TK-2317M
7601;Kenwood TK-2180-ISK
3737;Kenwood TK-2170M
4049;Kenwood TK-2000M
8518;Kenwood NX-340M3
8475;Kenwood NX-340M2
12498;Kenwood NX-3320E3
12493;Kenwood NX-3320E2
12491;Kenwood NX-3320E
7585;Kenwood NX-330EXE
12490;Kenwood NX-3220E3
12489;Kenwood NX-3220E2
12480;Kenwood NX-3220E
8521;Kenwood NX-320E3
8522;Kenwood NX-320E2
8477;Kenwood NX-320E
8527;Kenwood NX-300K3
8514;Kenwood NX-300K
8524;Kenwood NX-300GK4
8523;Kenwood NX-300GK
7607;Kenwood NX-300-ISK2
8517;Kenwood NX-240M2
8468;Kenwood NX-240M
7584;Kenwood NX-230EXE
8520;Kenwood NX-220E3
8519;Kenwood NX-220E2
8476;Kenwood NX-220E
8526;Kenwood NX-200K2
8525;Kenwood NX-200GK2
8478;Kenwood NX-200GK
8531;Kenwood NX-200E3
7606;Kenwood NX-200-ISK2
13873;Icom IC-F9023T
13097;Icom IC-F9021S
13104;Icom IC-F9021B
13091;Icom IC-F9011T
13095;Icom IC-F9011S
13102;Icom IC-F9011B
3735;Icom IC-F50
13087;Icom IC-F4400DT
15233;Icom IC-F4400DS
15232;Icom IC-F4400D
13089;Icom IC-F4360DT
8583;Icom IC-F4262DT
13078;Icom IC-F4230DT
13075;Icom IC-F4210D
8581;Icom IC-F4162DT
9582;Icom IC-F4103D
8023;Icom IC-F4102D
8022;Icom IC-F4036T
8021;Icom IC-F4036S
8020;Icom IC-F4003 #23
8019;Icom IC-F4003 #22
13082;Icom IC-F3400DT
15228;Icom IC-F3400DS
15227;Icom IC-F3400D
13085;Icom IC-F3360DT
8004;Icom IC-F3262DT
13077;Icom IC-F3230DT
13072;Icom IC-F3210D
8017;Icom IC-F3162DT
9590;Icom IC-F3161DT
9581;Icom IC-F3103D
7997;Icom IC-F3102D
7909;Icom IC-F3036T
7908;Icom IC-F3036S
7999;Icom IC-F3003 #23
7998;Icom IC-F3003 #22
3728;Icom IC-F26
