IE_XML_ID|IE_NAME|IE_DETAIL_PICTURE
7200|Atcom IP04|/upload/iblock/998/998e6a4c95611df0412ff6e5470a107d.jpg
8058|Grandstream UCM6116|/upload/iblock/bfb/bfb69cb738b2760317deef2c01acb006.jpg
8423|Grandstream UCM6510|/upload/iblock/ca8/ca8cd7fcf3702b579dd392a3289908d5.png
8741|OpenVox iCallDroid (1 FXO, 1 FXS)|/upload/iblock/616/616a6759466fe21c1a53cc0faa2bc998.jpg
8742|OpenVox iCallDroid|/upload/iblock/a1a/a1a8db2fcd52a72270cc595a36e3b169.jpg
8743|OpenVox iCallDroid spot|/upload/iblock/bcd/bcd5d914f71f78a9f48095a7afccb979.jpg
8744|OpenVox IX132|/upload/iblock/af5/af53e12835ca0c033bda08c90e186240.jpg
8745|OpenVox IX210|/upload/iblock/354/3542b9078b6b55539bce29421d826a5a.png
8753|Yeastar N824|/upload/iblock/8c2/8c23dd36a09c269dce6c9b681cbb65ca.jpg
9066|LG-ERICSSON SBG-1000.PKG|/upload/iblock/0f3/0f3a5b931c728861686813ba56214e35.jpg
9331|Yeastar N1|/upload/iblock/d3f/d3f74f156c73f58ba1332be8eaff642f.png
10108|Avaya IPO 500 V2|/upload/iblock/5a7/ipo-500-v2_2.jpg
10489|Yeastar N412|/upload/iblock/cd9/yeastar-n412_2.jpg
10568|Yeastar S100|/upload/iblock/aa7/yeastar-s100-1.jpg
10571|Yeastar S300|/upload/iblock/c33/yeastar-s300-1.jpg
10572|Yeastar S20|/upload/iblock/96c/yeastar-s20-1.jpg
10573|Yeastar S50|/upload/iblock/dc6/yeastar-s50-1.jpg
10574|Yeastar D30|/upload/iblock/ffd/yeastar-d30-1.jpg
11053|Panasonic KX-NS1000RU|/upload/iblock/5bb/kx_ns1000.jpg
11055|Panasonic KX-NS500RU|/upload/iblock/fa1/panasonic-kx_ns500ru_1.jpg
11297|Grandstream UCM6202|/upload/iblock/53d/ucm6202_02.jpg
11298|Grandstream UCM6204|/upload/iblock/5b3/grandstream-ucm6204_3.jpg
11300|Grandstream UCM6208|/upload/iblock/9c4/ucm6208_02.jpg
12690|Panasonic KX-HTS824RU|/upload/iblock/b0f/panasonic-kx_hts824ru_1.jpg
12692|Panasonic KX-NSX1000RU|/upload/iblock/702/panasonic-kx_nsx1000ru_1.jpg
12695|Panasonic KX-NSX2000RU|/upload/iblock/4bd/panasonic-kx_nsx2000ru_1.jpg
5153|Hanlong UC40|/upload/iblock/54c/54c60f6ed576553fcb38ddfdee4dc811.JPG
5154|Hanlong A320 HD IP3|/upload/iblock/213/213ec0e3304c5780a27952d8930ecb23.JPG
5155|Hanlong A310 IP|/upload/iblock/e55/e55dc74d80fc77fb17db6219b4d24689.JPG
5400|Plantronics BlackWire C520|/upload/iblock/e41/e41b44db4592aad59b2d81a9d228d800.jpg
5402|Plantronics BlackWire C420|/upload/iblock/153/153502fe6dfdf0e91be12a3c9611e92f.jpg
5403|Plantronics Blackwire C310|/upload/iblock/0dc/0dcc8b8f68afab2db3f2f1b0970cb099.jpg
5404|Plantronics Blackwire C320|/upload/iblock/e60/e607c39f1fb32f8a9e5bc897ed60c7f0.jpg
5413|Plantronics BlackWire C620-M|/upload/iblock/a0a/a0a5e37f840cc11e9b4d21166dcb6530.jpg
